商家編號,商家名稱 (單位: min),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
13,七里亭,3.75 ,5.75 ,4.50 ,9.25 ,9.50 ,2.00 ,3.00 ,2.00 ,2.75 ,3.00 ,2.25 ,3.00 ,0.00 ,1.00 ,0.75 ,2.75 ,4.50 ,7.50 ,6.25 ,5.00 ,0.50 ,0.75 ,2.75 ,0.75 ,1.25 ,1.25 ,2.50 ,0.50 ,7.00 ,6.50 ,4.50 ,4.25 ,4.25 ,4.50 ,7.00 ,4.00 ,3.50 ,3.25 ,3.75 ,4.00 ,2.75 ,6.25 ,4.25 ,7.00 ,8.50 ,8.00 ,7.25 ,5.75 ,6.75 ,5.25 ,6.25 ,4.50 ,5.25 ,6.00 ,6.00 ,8.50 ,8.00 ,8.00 ,1.50 ,1.50 ,2.50 ,2.25 ,0.75 ,1.50 ,6.75 ,1.75 ,5.00 ,1.50 ,1.75 ,4.25 ,2.50 ,2.25 ,2.00 ,1.75 ,1.00 
14,小川西堂,4.75 ,6.75 ,5.50 ,9.75 ,10.00 ,3.00 ,3.25 ,2.25 ,3.00 ,3.25 ,3.25 ,2.50 ,1.00 ,0.00 ,0.50 ,2.25 ,4.00 ,8.00 ,5.75 ,4.50 ,0.50 ,0.50 ,1.75 ,0.75 ,0.75 ,1.00 ,2.25 ,1.50 ,7.25 ,6.00 ,5.50 ,5.25 ,4.75 ,5.00 ,7.50 ,3.50 ,2.25 ,2.50 ,2.50 ,3.00 ,2.00 ,6.00 ,3.50 ,7.50 ,9.00 ,8.50 ,7.00 ,5.75 ,6.50 ,5.25 ,5.50 ,3.25 ,5.00 ,5.75 ,5.75 ,8.75 ,8.00 ,7.75 ,2.50 ,2.50 ,3.25 ,3.00 ,1.75 ,2.50 ,6.00 ,2.75 ,4.50 ,2.25 ,2.75 ,5.25 ,3.25 ,3.25 ,3.00 ,2.50 ,2.00 
15,楽坡BonBo0 - 台北公館店,4.25 ,6.25 ,5.00 ,9.75 ,10.00 ,2.50 ,3.25 ,2.25 ,3.00 ,3.00 ,2.75 ,2.50 ,0.75 ,0.50 ,0.00 ,2.25 ,4.25 ,8.00 ,6.25 ,5.00 ,0.75 ,1.00 ,2.25 ,1.00 ,1.25 ,1.50 ,2.75 ,1.00 ,7.50 ,6.75 ,5.25 ,4.75 ,4.75 ,5.00 ,7.50 ,3.50 ,2.75 ,2.75 ,3.00 ,3.50 ,2.50 ,6.25 ,4.00 ,7.50 ,9.00 ,8.25 ,7.50 ,6.00 ,7.00 ,5.50 ,6.25 ,3.75 ,5.25 ,6.25 ,6.00 ,8.75 ,8.50 ,8.25 ,2.00 ,2.00 ,2.75 ,2.50 ,1.25 ,2.00 ,6.25 ,2.25 ,4.50 ,1.75 ,2.25 ,4.75 ,2.75 ,2.75 ,2.50 ,2.25 ,1.50 
16,雞二拉麵 師大店,6.00 ,8.00 ,6.75 ,11.50 ,5.75 ,4.25 ,5.25 ,4.00 ,4.75 ,5.00 ,4.50 ,0.25 ,2.75 ,2.25 ,2.25 ,0.00 ,2.00 ,9.25 ,7.00 ,5.50 ,2.50 ,2.50 ,2.25 ,2.75 ,2.75 ,2.75 ,3.25 ,2.75 ,8.50 ,7.25 ,7.00 ,6.50 ,6.50 ,6.75 ,9.25 ,1.25 ,2.75 ,1.00 ,1.75 ,1.75 ,0.75 ,7.00 ,4.00 ,9.25 ,10.75 ,10.25 ,8.25 ,7.00 ,7.75 ,6.75 ,6.75 ,2.50 ,6.50 ,7.00 ,6.75 ,10.75 ,9.25 ,9.00 ,3.75 ,3.75 ,4.50 ,4.50 ,3.00 ,2.75 ,4.00 ,4.00 ,2.50 ,3.50 ,4.00 ,6.50 ,4.75 ,4.50 ,4.25 ,2.75 ,3.25 
17,肉多多火鍋-古亭旗艦店,8.00 ,10.00 ,8.75 ,11.75 ,12.25 ,6.25 ,7.00 ,6.00 ,6.50 ,7.00 ,6.50 ,1.50 ,4.50 ,4.00 ,4.25 ,2.00 ,0.00 ,9.25 ,7.00 ,5.75 ,4.50 ,4.50 ,3.00 ,4.75 ,4.50 ,4.75 ,4.50 ,4.75 ,8.50 ,7.25 ,8.75 ,8.50 ,8.50 ,8.75 ,10.25 ,1.00 ,3.25 ,2.00 ,2.25 ,2.00 ,2.50 ,7.25 ,4.00 ,10.75 ,11.75 ,11.00 ,8.25 ,7.00 ,7.75 ,7.50 ,6.75 ,2.25 ,7.75 ,7.00 ,7.00 ,11.50 ,9.25 ,9.00 ,5.75 ,1.50 ,6.50 ,6.25 ,5.00 ,4.75 ,2.00 ,6.00 ,1.25 ,5.50 ,6.00 ,8.50 ,6.50 ,6.50 ,6.25 ,4.75 ,5.00 
18,草泥Cafe,7.25 ,9.25 ,8.00 ,2.75 ,3.25 ,6.75 ,4.75 ,6.00 ,5.75 ,5.00 ,5.75 ,9.25 ,7.50 ,8.00 ,8.00 ,9.25 ,9.25 ,0.00 ,4.50 ,4.00 ,7.25 ,7.75 ,7.00 ,7.00 ,7.50 ,7.25 ,6.00 ,7.25 ,0.75 ,3.75 ,4.75 ,5.75 ,3.25 ,3.00 ,0.75 ,9.00 ,6.50 ,8.50 ,7.50 ,7.75 ,8.50 ,6.25 ,6.75 ,2.75 ,2.50 ,1.75 ,1.50 ,3.25 ,2.25 ,3.50 ,3.50 ,7.25 ,3.75 ,4.00 ,4.50 ,2.25 ,0.75 ,1.75 ,7.25 ,7.75 ,7.50 ,7.25 ,7.50 ,8.50 ,10.75 ,8.50 ,10.00 ,7.50 ,7.50 ,8.75 ,7.25 ,7.50 ,7.50 ,8.75 ,7.75 
19,瑞安豆漿大王,8.50 ,10.50 ,9.25 ,6.50 ,7.25 ,7.25 ,4.50 ,6.00 ,5.50 ,5.00 ,6.50 ,7.00 ,6.25 ,5.75 ,6.25 ,7.00 ,7.00 ,4.50 ,0.00 ,1.25 ,5.75 ,5.50 ,4.75 ,5.25 ,5.00 ,4.75 ,3.75 ,6.25 ,3.75 ,0.75 ,6.50 ,7.25 ,5.00 ,5.25 ,5.25 ,6.75 ,4.25 ,6.00 ,5.25 ,5.25 ,6.00 ,1.75 ,4.25 ,6.25 ,6.50 ,6.25 ,3.00 ,2.50 ,2.25 ,2.75 ,1.00 ,4.75 ,3.00 ,2.50 ,3.00 ,6.75 ,4.00 ,3.00 ,7.50 ,7.25 ,8.25 ,8.00 ,6.75 ,7.50 ,8.50 ,7.75 ,7.75 ,7.25 ,7.75 ,10.25 ,8.50 ,8.25 ,8.00 ,7.75 ,6.75 
20,馬祖麵館,7.75 ,9.75 ,8.75 ,6.50 ,7.00 ,6.50 ,4.00 ,4.75 ,4.75 ,4.75 ,6.00 ,5.75 ,5.00 ,4.50 ,5.00 ,5.50 ,5.75 ,4.00 ,1.25 ,0.00 ,4.25 ,4.00 ,3.50 ,4.00 ,3.75 ,3.50 ,2.50 ,4.75 ,3.50 ,1.50 ,6.25 ,7.00 ,4.75 ,5.00 ,5.00 ,5.25 ,3.00 ,4.75 ,4.00 ,4.00 ,4.75 ,2.00 ,3.00 ,6.00 ,6.25 ,6.00 ,2.75 ,2.00 ,2.50 ,2.50 ,1.00 ,3.50 ,2.75 ,2.00 ,2.25 ,6.50 ,4.00 ,3.50 ,6.25 ,6.00 ,7.00 ,6.75 ,5.50 ,6.25 ,7.25 ,6.50 ,6.50 ,6.00 ,6.50 ,9.00 ,7.00 ,7.00 ,6.75 ,6.50 ,5.50 
21,好想吃冰 台大公館店,4.25 ,6.50 ,5.25 ,9.25 ,9.50 ,2.75 ,2.75 ,1.75 ,2.50 ,2.75 ,2.75 ,3.00 ,0.50 ,0.50 ,0.75 ,2.50 ,4.50 ,7.25 ,5.75 ,4.25 ,0.00 ,0.25 ,2.25 ,0.50 ,0.50 ,0.75 ,2.00 ,1.00 ,7.00 ,6.00 ,5.00 ,4.75 ,4.25 ,4.50 ,7.00 ,3.75 ,2.75 ,3.00 ,3.00 ,3.50 ,2.50 ,5.75 ,3.50 ,7.00 ,8.50 ,8.00 ,6.75 ,5.50 ,6.50 ,5.00 ,5.50 ,4.00 ,5.00 ,5.75 ,5.75 ,8.25 ,8.00 ,7.75 ,2.25 ,2.00 ,3.00 ,2.75 ,1.50 ,2.00 ,6.50 ,2.50 ,5.00 ,2.00 ,2.50 ,5.00 ,3.00 ,3.00 ,2.75 ,2.50 ,1.50 
22,柒食貳,4.50 ,6.75 ,5.50 ,9.50 ,9.75 ,3.00 ,3.00 ,2.00 ,2.75 ,3.00 ,3.00 ,3.00 ,0.75 ,0.50 ,1.00 ,2.50 ,4.50 ,7.75 ,5.50 ,4.00 ,0.25 ,0.00 ,2.00 ,0.50 ,0.25 ,0.50 ,1.75 ,1.25 ,7.00 ,5.75 ,5.25 ,5.00 ,4.50 ,4.75 ,7.50 ,4.00 ,2.50 ,2.50 ,3.00 ,3.25 ,2.25 ,5.50 ,3.25 ,7.50 ,9.00 ,8.50 ,6.50 ,5.25 ,6.25 ,4.75 ,5.25 ,3.75 ,4.75 ,5.50 ,5.50 ,8.75 ,7.75 ,7.50 ,2.50 ,2.25 ,3.25 ,3.00 ,1.75 ,2.25 ,6.50 ,2.75 ,5.00 ,2.25 ,2.75 ,5.25 ,3.25 ,3.25 ,3.00 ,2.75 ,1.75 
23,糊塗麵,6.25 ,8.25 ,7.25 ,9.25 ,10.00 ,4.75 ,4.75 ,3.75 ,3.50 ,4.00 ,4.75 ,2.25 ,2.75 ,1.75 ,2.25 ,2.25 ,3.00 ,7.00 ,4.75 ,3.50 ,2.25 ,2.00 ,0.00 ,2.50 ,2.00 ,2.00 ,1.00 ,3.25 ,6.50 ,5.00 ,6.50 ,6.75 ,5.75 ,6.25 ,7.75 ,2.00 ,0.75 ,1.25 ,1.00 ,1.50 ,1.50 ,5.00 ,2.00 ,7.75 ,9.25 ,8.75 ,6.00 ,5.00 ,5.50 ,5.25 ,4.75 ,1.75 ,5.00 ,4.75 ,5.00 ,9.25 ,7.25 ,6.75 ,4.25 ,4.00 ,5.00 ,4.75 ,3.50 ,3.50 ,5.50 ,4.50 ,4.25 ,4.00 ,4.25 ,7.00 ,5.00 ,5.00 ,4.75 ,3.50 ,3.50 
24,台一牛奶大王,4.25 ,6.25 ,5.25 ,9.00 ,9.25 ,2.50 ,2.50 ,1.50 ,2.25 ,2.25 ,2.50 ,3.00 ,0.75 ,0.75 ,1.00 ,2.75 ,4.75 ,7.00 ,5.25 ,4.00 ,0.50 ,0.50 ,2.50 ,0.00 ,0.50 ,0.50 ,1.75 ,0.75 ,6.75 ,5.75 ,4.75 ,4.50 ,4.00 ,4.25 ,6.75 ,4.00 ,3.00 ,3.25 ,3.50 ,3.75 ,3.00 ,5.50 ,4.00 ,6.75 ,8.25 ,7.50 ,6.50 ,5.25 ,6.25 ,4.75 ,5.25 ,4.25 ,4.75 ,5.50 ,5.50 ,8.00 ,7.75 ,7.50 ,2.00 ,2.00 ,3.00 ,2.75 ,1.50 ,2.00 ,6.75 ,2.50 ,5.25 ,2.00 ,2.25 ,4.75 ,3.00 ,3.00 ,2.75 ,2.50 ,1.50 
25,璞田PureTime,4.75 ,6.75 ,5.75 ,9.50 ,9.75 ,3.25 ,3.25 ,2.00 ,2.75 ,3.00 ,3.00 ,3.00 ,1.25 ,0.75 ,1.25 ,2.75 ,4.50 ,7.50 ,5.00 ,3.75 ,0.50 ,0.25 ,2.00 ,0.50 ,0.00 ,0.25 ,1.50 ,1.25 ,6.75 ,5.50 ,5.25 ,5.00 ,4.50 ,4.75 ,7.25 ,4.00 ,2.50 ,2.75 ,3.00 ,3.25 ,2.50 ,5.25 ,3.50 ,7.25 ,8.75 ,8.00 ,6.25 ,5.00 ,6.00 ,4.50 ,5.00 ,3.75 ,4.50 ,5.25 ,5.25 ,8.50 ,7.50 ,7.25 ,2.75 ,2.50 ,3.50 ,3.25 ,2.00 ,2.50 ,6.75 ,3.00 ,5.25 ,2.50 ,2.75 ,5.50 ,3.50 ,3.50 ,3.25 ,3.00 ,2.00 
26,鳳城燒臘粵菜,4.75 ,6.75 ,5.50 ,9.25 ,9.50 ,3.00 ,3.00 ,2.00 ,2.50 ,2.75 ,3.00 ,3.25 ,1.25 ,1.00 ,1.50 ,2.75 ,4.75 ,7.25 ,4.75 ,3.50 ,0.75 ,0.50 ,2.00 ,0.50 ,0.25 ,0.00 ,1.25 ,1.25 ,6.50 ,5.25 ,5.00 ,5.00 ,4.25 ,4.75 ,7.00 ,4.00 ,2.75 ,2.75 ,3.00 ,3.50 ,2.50 ,5.00 ,3.50 ,7.00 ,8.50 ,8.00 ,6.00 ,4.75 ,5.75 ,4.25 ,4.75 ,3.75 ,4.25 ,5.00 ,4.50 ,8.25 ,7.25 ,7.00 ,2.50 ,2.50 ,3.25 ,3.25 ,2.00 ,2.50 ,6.75 ,3.00 ,5.25 ,2.50 ,2.75 ,5.25 ,3.50 ,3.25 ,3.00 ,2.75 ,2.00 
27,莫宰羊-大安台大店,6.00 ,8.00 ,7.00 ,8.25 ,9.00 ,4.50 ,4.00 ,2.75 ,2.50 ,3.25 ,4.00 ,3.25 ,2.50 ,2.25 ,2.75 ,3.25 ,4.50 ,6.00 ,3.75 ,2.50 ,2.00 ,1.75 ,1.00 ,1.75 ,1.50 ,1.25 ,0.00 ,2.75 ,5.25 ,4.00 ,5.75 ,6.00 ,5.00 ,5.25 ,7.00 ,3.00 ,1.50 ,2.25 ,2.00 ,2.50 ,2.50 ,4.00 ,2.25 ,7.00 ,8.50 ,7.75 ,5.00 ,4.00 ,4.50 ,4.25 ,3.75 ,2.50 ,4.00 ,3.75 ,3.75 ,8.25 ,6.00 ,5.75 ,4.00 ,3.75 ,4.75 ,4.50 ,3.25 ,3.75 ,6.25 ,4.25 ,5.25 ,3.75 ,4.25 ,6.75 ,4.75 ,4.75 ,4.50 ,4.25 ,3.25 
28,Pizza Guild 比薩幫,3.50 ,5.50 ,4.25 ,9.25 ,9.25 ,1.75 ,2.75 ,2.00 ,2.50 ,2.75 ,2.00 ,3.25 ,0.50 ,1.50 ,1.00 ,2.75 ,4.75 ,7.25 ,6.25 ,4.75 ,1.00 ,1.25 ,3.25 ,0.75 ,1.25 ,1.25 ,2.75 ,0.00 ,7.00 ,6.50 ,4.50 ,4.00 ,4.00 ,4.25 ,6.75 ,4.00 ,3.75 ,3.25 ,3.75 ,4.00 ,3.00 ,6.25 ,4.50 ,6.75 ,8.50 ,7.75 ,7.00 ,5.75 ,6.75 ,5.25 ,6.00 ,4.75 ,5.00 ,5.75 ,5.75 ,8.25 ,7.75 ,7.75 ,1.25 ,1.25 ,2.00 ,2.00 ,0.50 ,1.25 ,6.75 ,1.50 ,5.25 ,1.00 ,1.50 ,4.00 ,2.25 ,2.00 ,1.75 ,1.50 ,0.75 
29,BURGER KING漢堡王 敦南店,7.00 ,9.00 ,8.00 ,3.25 ,3.75 ,6.50 ,4.50 ,5.50 ,5.00 ,4.75 ,5.25 ,8.50 ,7.00 ,7.25 ,7.50 ,8.50 ,8.50 ,0.75 ,3.75 ,3.50 ,7.00 ,7.00 ,6.50 ,6.75 ,6.75 ,6.50 ,5.25 ,7.00 ,0.00 ,3.00 ,4.75 ,5.50 ,3.00 ,3.00 ,1.75 ,8.25 ,5.75 ,7.75 ,6.75 ,7.00 ,7.50 ,5.25 ,6.00 ,2.75 ,3.25 ,2.50 ,0.75 ,2.50 ,1.50 ,2.75 ,2.75 ,6.50 ,3.00 ,3.25 ,3.75 ,3.25 ,0.75 ,1.00 ,7.00 ,7.25 ,7.00 ,7.00 ,7.25 ,8.00 ,10.00 ,8.25 ,9.25 ,7.75 ,7.00 ,8.25 ,7.00 ,7.00 ,7.25 ,8.25 ,7.25 
